phase,t,margin_unguided,margin_guided,margin_gain,quality_unguided,quality_guided,action_delta_l2,future_marker_delta
Initial contact,204,5.3594818115234375,6.893252372741699,1.5337705612182617,99.53186798095703,99.89864349365234,1.5741233825683594,0.4989147484302521
Stable interaction,306,-6.442830562591553,-2.9205734729766846,3.522257089614868,0.15893642604351044,5.114586353302002,1.5825929641723633,1.0802432298660278
Completion,510,-6.779487609863281,-5.604821681976318,1.174665927886963,0.1135566234588623,0.3666583299636841,1.547402024269104,0.22901177406311035
