group,episode,path,length,duration_s_at20hz,action_finite_ratio,action_abs_mean,action_step_delta_mean,action_step_delta_p95,action_step_delta_max,action_j0_range,action_j1_range,action_j2_range,action_j3_range,action_j4_range,action_j5_range,action_j6_range,qpos_finite_ratio,qpos_step_delta_mean,qpos_step_delta_p95,qpos_step_delta_max,qpos_j0_range,qpos_j1_range,qpos_j2_range,qpos_j3_range,qpos_j4_range,qpos_j5_range,qpos_j6_range,action_qpos_abs_err_mean,action_qpos_abs_err_p95,eef_finite_ratio,eef_xyz_path_m,eef_xyz_step_mean_m,eef_xyz_step_p95_m,eef_xyz_step_max_m,eef_xyz_displacement_m,eef_x_range,eef_x_start,eef_x_end,eef_y_range,eef_y_start,eef_y_end,eef_z_range,eef_z_start,eef_z_end,eef_rx_range,eef_rx_start,eef_rx_end,eef_ry_range,eef_ry_start,eef_ry_end,eef_rz_range,eef_rz_start,eef_rz_end,ft_finite_ratio,ft_force_norm_mean,ft_force_norm_p95,ft_force_norm_max,ft_fz_mean,ft_fz_min,ft_fz_max,ft_torque_norm_mean,ft_torque_norm_max,joint_current_abs_mean,joint_current_abs_max,left_force6d_norm_mean,left_force6d_norm_p95,left_force6d_norm_max,left_force6d_fz_mean,left_force6d_fz_min,left_force6d_fz_max,left_force6d_torque_norm_mean,left_force6d_torque_norm_max,left_marker_norm_mean,left_marker_norm_p95,left_marker_norm_max,right_force6d_norm_mean,right_force6d_norm_p95,right_force6d_norm_max,right_force6d_fz_mean,right_force6d_fz_min,right_force6d_fz_max,right_force6d_torque_norm_mean,right_force6d_torque_norm_max,right_marker_norm_mean,right_marker_norm_p95,right_marker_norm_max,observations_images_global_sample_mean,observations_images_global_sample_std,observations_images_wrist_sample_mean,observations_images_wrist_sample_std
huaping_main,1,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_1.hdf5,518,25.9,1.0,38.41446304321289,1.104713797569275,1.19710214138031,204.90933227539062,146.06980895996094,49.73387145996094,144.64154052734375,87.78102111816406,4.67649507522583,47.61701965332031,9.048309326171875,1.0,0.2996385395526886,0.5947786331176758,1.1429524421691895,7.630999565124512,49.472999572753906,5.054999828338623,88.09700012207031,2.417999744415283,47.875003814697266,7.9120025634765625,8.224018096923828,34.145337295532215,1.0,0.38023096323013306,0.0007354564149864018,0.0015904312254860996,0.0031104765366762877,0.2036576271057129,0.205284982919693,0.39034798741340637,0.18777500092983246,0.0527849979698658,-0.005193000193685293,-0.021310999989509583,0.09567500650882721,0.2883470058441162,0.27489998936653137,0.04500007629394531,3.140000104904175,3.135999917984009,0.044999998062849045,-0.007000000216066837,-0.032999999821186066,0.08000004291534424,1.9320000410079956,1.8530000448226929,1.0,12.475284576416016,16.509361839294435,18.3765869140625,10.223803520202637,0.5599450469017029,17.681047439575195,0.31339532136917114,1.7907369136810303,679.1389770507812,3926.0,1.9917267560958862,2.2351943254470816,5.087564468383789,1.7350236177444458,1.4583176374435425,3.1520187854766846,0.009338497184216976,0.04009393975138664,1.6731489896774292,2.402956640720368,4.673558235168457,134.3525390625,134.8357063293457,135.95045471191406,134.3108673095703,133.50962829589844,135.89215087890625,0.12404099106788635,0.1479833722114563,2.3731396198272705,3.8660226225852967,5.555409908294678,114.63573201497395,5.057611410888339,98.00652313232422,6.738962696497836
huaping_main,2,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_2.hdf5,469,23.45,1.0,38.60207748413086,1.2241753339767456,1.9327937543392177,231.44015502929688,163.6650390625,51.01662063598633,163.62767028808594,89.67689514160156,2.510625123977661,48.453514099121094,6.22088623046875,1.0,0.3322148323059082,0.6512317478656768,1.2329866886138916,5.7129998207092285,51.21500015258789,2.4839999675750732,90.1300048828125,2.3369998931884766,48.71999740600586,6.372001647949219,9.10206413269043,39.92844772338867,1.0,0.382892906665802,0.0008181472076103091,0.0015487152268178759,0.0034084024373441935,0.20518113672733307,0.2154190093278885,0.3903360068798065,0.1853169947862625,0.03876100108027458,-0.005119000095874071,-0.0007600000244565308,0.0966389924287796,0.28839701414108276,0.2815049886703491,0.04400014877319336,3.140000104904175,3.13100004196167,0.032999999821186066,-0.006000000052154064,-0.012000000104308128,0.0419999361038208,1.9329999685287476,1.9040000438690186,1.0,12.658971786499023,16.945098876953125,20.12347984313965,9.016515731811523,-3.273195266723633,17.8851375579834,0.5199060440063477,3.1488473415374756,623.0353393554688,3858.0,1.9024322032928467,2.1393424987792966,2.5988175868988037,1.7147315740585327,1.5180860757827759,2.2161672115325928,0.008312545716762543,0.015744471922516823,1.5811229944229126,2.3123090267181396,2.951219081878662,134.74063110351562,135.55266418457032,136.31048583984375,134.6873016357422,133.90757751464844,136.1217041015625,0.12669140100479126,0.15575054287910461,2.51123046875,4.5377147674560545,6.052306652069092,114.23179372151692,4.643222300956446,97.60518137613933,6.301425634832006
huaping_main,3,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_3.hdf5,439,21.95,1.0,39.17639923095703,1.2068336009979248,3.0370608210563628,210.68984985351562,155.59127807617188,49.19478225708008,155.1101531982422,86.50846862792969,5.28985595703125,47.733497619628906,8.944122314453125,1.0,0.33389708399772644,0.6511075347661972,0.956964373588562,7.420000076293945,49.04800033569336,4.0829997062683105,86.64199829101562,2.759000062942505,47.88199996948242,7.537994384765625,11.035812377929688,50.40374259948721,1.0,0.3556644320487976,0.000812019279692322,0.001566206401912495,0.002680454170331359,0.19861015677452087,0.20115399360656738,0.39035099744796753,0.192672997713089,0.05187799781560898,-0.005237999837845564,-0.011555000208318233,0.09507898986339569,0.28834500908851624,0.2701930105686188,0.0279998779296875,3.140000104904175,3.128000020980835,0.038999997079372406,-0.006000000052154064,-0.004999999888241291,0.046000003814697266,1.9320000410079956,1.8869999647140503,1.0,12.853363990783691,16.41845417022705,19.803142547607422,10.927629470825195,2.0800535678863525,19.301956176757812,0.23309260606765747,0.9123890995979309,659.8242797851562,3840.0,1.9145159721374512,2.115456652641296,2.68190336227417,1.728866696357727,1.584322452545166,2.1788668632507324,0.00797954574227333,0.020709531381726265,1.5641541481018066,2.28300015926361,2.7788727283477783,134.34475708007812,134.83478088378905,135.1549530029297,134.3031768798828,133.5133514404297,135.11968994140625,0.1234845370054245,0.13745009899139404,2.356719970703125,3.8488337993621826,4.526844024658203,114.18500518798828,4.658741502207121,96.6451187133789,7.252327333427512
huaping_main,4,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_4.hdf5,501,25.05,1.0,38.65726852416992,1.0937697887420654,2.165360248088836,215.87347412109375,158.14187622070312,49.30966567993164,158.00840759277344,85.40380096435547,5.574002265930176,46.88385772705078,8.023017883300781,1.0,0.28940075635910034,0.533347862958908,0.836449384689331,5.960000038146973,49.23899841308594,4.228000164031982,85.58799743652344,3.4200000762939453,47.11499786376953,6.553001403808594,9.557746887207031,48.98577117919922,1.0,0.3585517704486847,0.0007171035395003855,0.0013571881339885287,0.0020650215446949005,0.20314325392246246,0.20128901302814484,0.39036399126052856,0.18910999596118927,0.05109400302171707,-0.00519599998369813,-0.016801999881863594,0.09528300166130066,0.2883720099925995,0.2632859945297241,0.032000064849853516,3.140000104904175,3.131999969482422,0.05400000140070915,-0.007000000216066837,0.0,0.0559999942779541,1.9329999685287476,1.878999948501587,1.0,12.8512544631958,16.055063247680664,17.261798858642578,10.219948768615723,-2.596799850463867,16.365184783935547,0.2942171096801758,2.5183966159820557,666.4308471679688,3866.0,1.6983087062835693,1.8525687456130981,2.645209550857544,1.451014757156372,1.2335822582244873,1.8785279989242554,0.012803703546524048,0.02814876101911068,1.409183144569397,2.0923094749450684,3.0266363620758057,143.11390686035156,143.55133056640625,143.8177947998047,143.0861358642578,142.10104370117188,143.79522705078125,0.12898914515972137,0.16245156526565552,2.1180386543273926,3.105637311935425,4.697730541229248,114.31805165608723,4.588574197827182,97.45168050130208,8.16370866352849
huaping_main,5,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_5.hdf5,516,25.8,1.0,38.6150016784668,1.14755380153656,2.1650982856750427,239.38043212890625,169.32168579101562,50.782222747802734,169.20248413085938,89.4291763305664,4.115812301635742,49.52769470214844,7.498039245605469,1.0,0.32778552174568176,0.6590763330459585,1.1147798299789429,6.0320000648498535,50.76199722290039,2.9110000133514404,89.73500061035156,3.361999988555908,49.86900329589844,7.64599609375,9.26472282409668,33.66600227355957,1.0,0.3898327350616455,0.000756956753320992,0.0014629924553446467,0.002352805808186531,0.20608042180538177,0.2052999883890152,0.3903529942035675,0.18520499765872955,0.040651001036167145,-0.0052089998498559,-0.002420000033453107,0.09659600257873535,0.28835898637771606,0.26897698640823364,0.042999982833862305,3.140000104904175,3.121999979019165,0.05199999734759331,-0.006000000052154064,-0.020999999716877937,0.05799996852874756,1.9329999685287476,1.8949999809265137,1.0,12.895293235778809,16.36722230911255,19.014360427856445,10.491256713867188,1.872677206993103,18.496166229248047,0.32970482110977173,1.6242833137512207,659.8565673828125,3957.0,1.7258479595184326,1.8438422083854675,1.9728429317474365,1.4855924844741821,1.3786447048187256,1.70669424533844,0.012805703096091747,0.01924760825932026,1.436312198638916,2.1499128341674805,2.9781606197357178,143.9727783203125,144.3552360534668,144.587158203125,143.94317626953125,143.27911376953125,144.5615692138672,0.13176269829273224,0.15168124437332153,2.188952922821045,3.1820106506347656,4.112020969390869,112.85773213704427,4.225470630910582,97.89095052083333,6.023413054999179
huaping_main,6,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_6.hdf5,516,25.8,1.0,38.608978271484375,1.1193597316741943,1.9053654670715214,237.31512451171875,167.8188018798828,50.05868911743164,167.78411865234375,87.38152313232422,4.576992988586426,46.72391128540039,8.837196350097656,1.0,0.3051593601703644,0.5581327140331268,0.8586156964302063,5.447000026702881,50.08100128173828,4.126999855041504,87.60600280761719,4.632999897003174,46.99800109863281,7.424003601074219,10.065411567687988,42.18046188354492,1.0,0.3772786259651184,0.0007325798505917192,0.0013072518398985265,0.002078854478895664,0.20047108829021454,0.20489901304244995,0.39036300778388977,0.19039499759674072,0.039236001670360565,-0.005216000135987997,-0.00824199989438057,0.09388801455497742,0.2882609963417053,0.2743940055370331,0.03899979591369629,3.1410000324249268,3.11299991607666,0.06700000166893005,-0.007000000216066837,-0.035999998450279236,0.031999945640563965,1.9329999685287476,1.9079999923706055,1.0,13.123406410217285,16.433133602142334,17.812774658203125,11.085090637207031,-1.6407191753387451,17.071361541748047,0.26693692803382874,1.5435712337493896,681.677490234375,3990.0,1.7327501773834229,2.2771878838539124,2.8924219608306885,1.423510193824768,1.1726410388946533,2.117461681365967,0.013242511078715324,0.03272275999188423,1.4715133905410767,2.211315631866455,3.1661174297332764,144.12161254882812,144.56165313720703,144.9506072998047,144.09458923339844,143.1254119873047,144.89425659179688,0.1338099092245102,0.15935952961444855,2.1792144775390625,3.1516467332839966,4.7741312980651855,112.65417734781902,4.445926747449656,97.47222900390625,5.770665434707646
huaping_main,7,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_7.hdf5,388,19.4,1.0,37.930171966552734,1.5271064043045044,1.5898123860359188,222.67466735839844,157.56158447265625,51.77756118774414,157.33480834960938,91.66506958007812,5.130965232849121,50.79615020751953,8.848899841308594,1.0,0.398654043674469,0.6953106105327607,1.1094295978546143,6.3460001945495605,51.667999267578125,4.151000022888184,91.88300323486328,3.419999837875366,50.986995697021484,8.019004821777344,7.921652793884277,28.43087873458862,1.0,0.3606768250465393,0.000931981485337019,0.0016853168723173439,0.0026300756726413965,0.20621129870414734,0.21199698746204376,0.3903859853744507,0.1856130063533783,0.041221000254154205,-0.005218000151216984,-0.013826999813318253,0.09661200642585754,0.2884739935398102,0.26573601365089417,0.06700015068054199,3.140000104904175,3.0889999866485596,0.053999997675418854,-0.006000000052154064,-0.026000000536441803,0.0549999475479126,1.9329999685287476,1.8819999694824219,1.0,12.765628814697266,16.390991497039796,22.105018615722656,10.339683532714844,0.4382299780845642,21.705883026123047,0.307029128074646,2.392428159713745,659.518798828125,3825.0,1.7297711372375488,1.8689147055149078,2.7291088104248047,1.4930788278579712,1.3262982368469238,1.8574199676513672,0.012632611207664013,0.027244193479418755,1.4721596240997314,2.1920626282691957,2.9552342891693115,144.58865356445312,144.9826904296875,145.35311889648438,144.55984497070312,143.68370056152344,145.3126678466797,0.13460655510425568,0.1514061689376831,2.1755425930023193,3.179918313026428,4.19314432144165,112.41475423177083,4.359246888403292,97.14469401041667,5.941576566682872
huaping_main,8,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_8.hdf5,386,19.3,1.0,38.177738189697266,1.6019458770751953,2.699312782287564,235.469482421875,166.57345581054688,50.461830139160156,166.4195556640625,88.3769760131836,3.7771668434143066,47.64967346191406,10.101032257080078,1.0,0.38239586353302,0.7345402121543881,1.3596214056015015,6.554999828338623,50.183998107910156,3.6490001678466797,88.63999938964844,2.5980000495910645,47.77099609375,8.837997436523438,8.209076881408691,29.973353385925293,1.0,0.3578451871871948,0.0009294680203311145,0.00191910401917994,0.0040215798653662205,0.2037409245967865,0.20385700464248657,0.3904010057449341,0.18846599757671356,0.04422600194811821,-0.005222000181674957,-0.01107299979776144,0.09299501776695251,0.2881790101528168,0.26175200939178467,0.05299997329711914,3.140000104904175,3.0929999351501465,0.04699999839067459,-0.007000000216066837,-0.03799999877810478,0.046000003814697266,1.9329999685287476,1.8890000581741333,1.0,12.22530746459961,16.471654891967773,20.234708786010742,10.230721473693848,0.343304842710495,19.715593338012695,0.2778814733028412,1.1954400539398193,655.300537109375,3736.0,1.843654990196228,2.3909290432929993,6.083019733428955,1.5159467458724976,1.18990957736969,3.5231473445892334,0.014251822605729103,0.053296785801649094,1.5551353693008423,2.38178813457489,5.712502956390381,144.08251953125,144.6153106689453,145.864990234375,144.0526123046875,143.00537109375,145.73345947265625,0.13520172238349915,0.16141226887702942,2.2090768814086914,3.2433741092681885,6.268661975860596,112.04053243001302,4.329137285991663,97.54227193196614,5.1395135804251915
huaping_main,9,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_9.hdf5,417,20.85,1.0,39.27109909057617,1.4190542697906494,4.242585182189941,204.86380004882812,153.5068359375,49.36665725708008,151.83355712890625,86.36167907714844,3.886888027191162,47.77977752685547,11.986656188964844,1.0,0.3507736921310425,0.6757838428020477,1.2315396070480347,6.978000164031982,48.97200012207031,4.97599983215332,86.5009994506836,1.8580000400543213,47.8329963684082,10.501007080078125,12.616776466369629,63.87679901123045,1.0,0.35005176067352295,0.0008414705516770482,0.0016180836537387222,0.0030138851143419743,0.1977572739124298,0.19738800823688507,0.3903850018978119,0.19352300465106964,0.05326399952173233,-0.00521499989554286,-0.019088000059127808,0.09397898614406586,0.28818899393081665,0.27550700306892395,0.03900003433227539,3.140000104904175,3.119999885559082,0.04600000008940697,-0.007000000216066837,-0.024000000208616257,0.03799998760223389,1.9320000410079956,1.8949999809265137,1.0,12.897233009338379,16.615534210205077,19.970680236816406,11.024117469787598,3.2857506275177,19.548797607421875,0.21392469108104706,1.3292113542556763,700.7423706054688,3873.0,1.7777676582336426,1.9641242504119873,2.462683916091919,1.556770920753479,1.319983720779419,1.8589619398117065,0.012087897397577763,0.023216508328914642,1.4830875396728516,2.1861414909362793,2.931469202041626,144.60777282714844,144.98851928710937,145.3654022216797,144.57664489746094,143.7295379638672,145.33837890625,0.1366107016801834,0.150920569896698,2.2384238243103027,3.222616815567016,3.9388844966888428,113.4573237101237,4.857781466027838,96.0122553507487,7.027277499324754
huaping_main,10,/media/chenshuai/czy_data22/pih_dataset/260630_v8j_huaping/peg_in_hole_0630/episode_10.hdf5,388,19.4,1.0,39.89730453491211,1.2604610919952393,3.115237188339229,208.95794677734375,158.58770751953125,47.78204345703125,157.3465576171875,87.47477722167969,4.401747703552246,46.61676025390625,6.7804718017578125,1.0,0.3861544132232666,0.7026553034782409,1.2016092538833618,6.297000408172607,46.87699890136719,2.7179999351501465,88.06900024414062,2.5300002098083496,47.215999603271484,5.785003662109375,15.247163772583008,99.68246765136718,1.0,0.3610687255859375,0.0009329941240139306,0.0016788140637800095,0.0028200624510645866,0.1964898705482483,0.20112700760364532,0.3903979957103729,0.1956930011510849,0.038332000374794006,-0.005204999819397926,-0.006912000011652708,0.0936029851436615,0.288129985332489,0.26176100969314575,0.046000003814697266,3.1410000324249268,3.1449999809265137,0.054999999701976776,-0.007000000216066837,-0.03799999877810478,0.060000061988830566,1.9320000410079956,1.871999979019165,1.0,13.240057945251465,16.535248947143554,23.032323837280273,11.666709899902344,5.804344654083252,22.465633392333984,0.18824847042560577,1.3184365034103394,680.8096313476562,3696.0,1.808120846748352,2.0880313634872434,3.002629041671753,1.5283849239349365,1.3453068733215332,1.9197909832000732,0.013376055285334587,0.03174449875950813,1.513689637184143,2.2070205807685848,2.972851514816284,144.56736755371094,144.96376419067383,145.33212280273438,144.5384979248047,143.87271118164062,145.30625915527344,0.13654081523418427,0.14810249209403992,2.2013518810272217,3.1512813210487365,3.88382887840271,113.0810063680013,4.214365547815165,98.16341908772786,5.534647828370784
