group,episodes,length_n,length_mean,length_std,length_min,length_p25,length_median,length_p75,length_max,duration_s_at20hz_n,duration_s_at20hz_mean,duration_s_at20hz_std,duration_s_at20hz_min,duration_s_at20hz_p25,duration_s_at20hz_median,duration_s_at20hz_p75,duration_s_at20hz_max,eef_xyz_path_m_n,eef_xyz_path_m_mean,eef_xyz_path_m_std,eef_xyz_path_m_min,eef_xyz_path_m_p25,eef_xyz_path_m_median,eef_xyz_path_m_p75,eef_xyz_path_m_max,eef_xyz_displacement_m_n,eef_xyz_displacement_m_mean,eef_xyz_displacement_m_std,eef_xyz_displacement_m_min,eef_xyz_displacement_m_p25,eef_xyz_displacement_m_median,eef_xyz_displacement_m_p75,eef_xyz_displacement_m_max,eef_z_range_n,eef_z_range_mean,eef_z_range_std,eef_z_range_min,eef_z_range_p25,eef_z_range_median,eef_z_range_p75,eef_z_range_max,qpos_step_delta_mean_n,qpos_step_delta_mean_mean,qpos_step_delta_mean_std,qpos_step_delta_mean_min,qpos_step_delta_mean_p25,qpos_step_delta_mean_median,qpos_step_delta_mean_p75,qpos_step_delta_mean_max,qpos_step_delta_p95_n,qpos_step_delta_p95_mean,qpos_step_delta_p95_std,qpos_step_delta_p95_min,qpos_step_delta_p95_p25,qpos_step_delta_p95_median,qpos_step_delta_p95_p75,qpos_step_delta_p95_max,action_step_delta_mean_n,action_step_delta_mean_mean,action_step_delta_mean_std,action_step_delta_mean_min,action_step_delta_mean_p25,action_step_delta_mean_median,action_step_delta_mean_p75,action_step_delta_mean_max,action_qpos_abs_err_mean_n,action_qpos_abs_err_mean_mean,action_qpos_abs_err_mean_std,action_qpos_abs_err_mean_min,action_qpos_abs_err_mean_p25,action_qpos_abs_err_mean_median,action_qpos_abs_err_mean_p75,action_qpos_abs_err_mean_max,ft_force_norm_mean_n,ft_force_norm_mean_mean,ft_force_norm_mean_std,ft_force_norm_mean_min,ft_force_norm_mean_p25,ft_force_norm_mean_median,ft_force_norm_mean_p75,ft_force_norm_mean_max,ft_force_norm_p95_n,ft_force_norm_p95_mean,ft_force_norm_p95_std,ft_force_norm_p95_min,ft_force_norm_p95_p25,ft_force_norm_p95_median,ft_force_norm_p95_p75,ft_force_norm_p95_max,ft_force_norm_max_n,ft_force_norm_max_mean,ft_force_norm_max_std,ft_force_norm_max_min,ft_force_norm_max_p25,ft_force_norm_max_median,ft_force_norm_max_p75,ft_force_norm_max_max,ft_fz_mean_n,ft_fz_mean_mean,ft_fz_mean_std,ft_fz_mean_min,ft_fz_mean_p25,ft_fz_mean_median,ft_fz_mean_p75,ft_fz_mean_max,ft_fz_min_n,ft_fz_min_mean,ft_fz_min_std,ft_fz_min_min,ft_fz_min_p25,ft_fz_min_median,ft_fz_min_p75,ft_fz_min_max,ft_fz_max_n,ft_fz_max_mean,ft_fz_max_std,ft_fz_max_min,ft_fz_max_p25,ft_fz_max_median,ft_fz_max_p75,ft_fz_max_max,left_force6d_norm_mean_n,left_force6d_norm_mean_mean,left_force6d_norm_mean_std,left_force6d_norm_mean_min,left_force6d_norm_mean_p25,left_force6d_norm_mean_median,left_force6d_norm_mean_p75,left_force6d_norm_mean_max,left_force6d_norm_p95_n,left_force6d_norm_p95_mean,left_force6d_norm_p95_std,left_force6d_norm_p95_min,left_force6d_norm_p95_p25,left_force6d_norm_p95_median,left_force6d_norm_p95_p75,left_force6d_norm_p95_max,left_force6d_norm_max_n,left_force6d_norm_max_mean,left_force6d_norm_max_std,left_force6d_norm_max_min,left_force6d_norm_max_p25,left_force6d_norm_max_median,left_force6d_norm_max_p75,left_force6d_norm_max_max,right_force6d_norm_mean_n,right_force6d_norm_mean_mean,right_force6d_norm_mean_std,right_force6d_norm_mean_min,right_force6d_norm_mean_p25,right_force6d_norm_mean_median,right_force6d_norm_mean_p75,right_force6d_norm_mean_max,right_force6d_norm_p95_n,right_force6d_norm_p95_mean,right_force6d_norm_p95_std,right_force6d_norm_p95_min,right_force6d_norm_p95_p25,right_force6d_norm_p95_median,right_force6d_norm_p95_p75,right_force6d_norm_p95_max,right_force6d_norm_max_n,right_force6d_norm_max_mean,right_force6d_norm_max_std,right_force6d_norm_max_min,right_force6d_norm_max_p25,right_force6d_norm_max_median,right_force6d_norm_max_p75,right_force6d_norm_max_max,left_marker_norm_mean_n,left_marker_norm_mean_mean,left_marker_norm_mean_std,left_marker_norm_mean_min,left_marker_norm_mean_p25,left_marker_norm_mean_median,left_marker_norm_mean_p75,left_marker_norm_mean_max,left_marker_norm_p95_n,left_marker_norm_p95_mean,left_marker_norm_p95_std,left_marker_norm_p95_min,left_marker_norm_p95_p25,left_marker_norm_p95_median,left_marker_norm_p95_p75,left_marker_norm_p95_max,left_marker_norm_max_n,left_marker_norm_max_mean,left_marker_norm_max_std,left_marker_norm_max_min,left_marker_norm_max_p25,left_marker_norm_max_median,left_marker_norm_max_p75,left_marker_norm_max_max,right_marker_norm_mean_n,right_marker_norm_mean_mean,right_marker_norm_mean_std,right_marker_norm_mean_min,right_marker_norm_mean_p25,right_marker_norm_mean_median,right_marker_norm_mean_p75,right_marker_norm_mean_max,right_marker_norm_p95_n,right_marker_norm_p95_mean,right_marker_norm_p95_std,right_marker_norm_p95_min,right_marker_norm_p95_p25,right_marker_norm_p95_median,right_marker_norm_p95_p75,right_marker_norm_p95_max,right_marker_norm_max_n,right_marker_norm_max_mean,right_marker_norm_max_std,right_marker_norm_max_min,right_marker_norm_max_p25,right_marker_norm_max_median,right_marker_norm_max_p75,right_marker_norm_max_max,observations_images_global_sample_mean_n,observations_images_global_sample_mean_mean,observations_images_global_sample_mean_std,observations_images_global_sample_mean_min,observations_images_global_sample_mean_p25,observations_images_global_sample_mean_median,observations_images_global_sample_mean_p75,observations_images_global_sample_mean_max,observations_images_wrist_sample_mean_n,observations_images_wrist_sample_mean_mean,observations_images_wrist_sample_mean_std,observations_images_wrist_sample_mean_min,observations_images_wrist_sample_mean_p25,observations_images_wrist_sample_mean_median,observations_images_wrist_sample_mean_p75,observations_images_wrist_sample_mean_max
card_bounce_hengxiang,20,20,415.1,37.29865949333836,334.0,399.5,418.5,434.25,492.0,20,20.755000000000003,1.864932974666918,16.7,19.975,20.925,21.7125,24.6,20,0.3536966547369957,0.011287368894323675,0.3315366208553314,0.3473719283938408,0.35032860934734344,0.36704617738723755,0.37063610553741455,20,0.1909698463976383,0.00760645499815203,0.17584769427776337,0.18729941546916962,0.19012977182865143,0.19588995724916458,0.20661841332912445,20,0.06572430059313775,0.004000638024685708,0.06171900033950806,0.06213199719786644,0.06500999629497528,0.06762124598026276,0.07533100247383118,20,0.36713716834783555,0.059809109009499505,0.278237521648407,0.3271853029727936,0.36152955889701843,0.3828486055135727,0.5236651301383972,20,0.9316536290943619,0.30386624149126673,0.5800834149122238,0.7045412681996821,0.8473861932754514,0.966044160723686,1.759545892477036,20,0.36613998264074327,0.05961230583591075,0.2772620916366577,0.32598263025283813,0.3598967343568802,0.38253583014011383,0.5237111449241638,20,0.6985873967409134,0.10930650024754598,0.5275930762290955,0.630304679274559,0.681224912405014,0.7371267974376678,0.9783052206039429,20,13.628604555130005,0.28148642726380024,13.116909980773926,13.437215805053711,13.547958374023438,13.880139350891113,14.086438179016113,20,16.031949882507327,0.689469351723855,15.112316465377807,15.471264326572419,15.895838999748229,16.389051628112792,17.65083770751953,20,19.148138332366944,1.8620998808973146,16.186691284179688,17.85293436050415,19.261024475097656,20.501208782196045,22.593515396118164,20,12.463321876525878,0.2905274456710446,11.83257007598877,12.324719429016113,12.490517139434814,12.657660722732544,12.853721618652344,20,0.34031452015042307,5.4846897099723675,-19.46648406982422,0.001203935593366623,2.0632907152175903,3.227969765663147,5.953256607055664,20,16.97928318977356,1.3665052471704826,15.335857391357422,15.95332956314087,16.906036376953125,17.529964923858643,20.380661010742188,20,1.7776153922080993,0.4510618066535496,0.9934827089309692,1.4666409194469452,1.8005313873291016,2.134255528450012,2.4397706985473633,20,2.568641320466994,0.6768031854114368,1.5360647439956665,2.222623336315155,2.450792831182479,2.920078784227371,4.333642768859862,20,5.932144260406494,1.8148087329397544,3.2268712520599365,4.438729166984558,5.681698560714722,6.859045386314392,9.831992149353027,20,37.13937568664551,2.633871285208956,33.30329132080078,34.88308811187744,37.770578384399414,39.027865409851074,41.96345901489258,20,41.658449468612666,2.877297824855736,37.08709907531738,39.265249252319336,41.0497088432312,44.418811273574825,45.52040481567383,20,42.755736351013184,2.9000697905193085,38.12308883666992,40.57166385650635,42.36110305786133,45.96385860443115,46.54946517944336,20,1.518807339668274,0.10896033907579059,1.2703646421432495,1.4502968788146973,1.524603247642517,1.614325851202011,1.6852188110351562,20,2.978994425535202,0.24046116644171092,2.4550362348556516,2.881162893772124,2.961310386657715,3.0865664184093475,3.5219390153884884,20,6.069490432739258,1.1064868964476577,4.210931301116943,5.258386611938477,5.825801849365234,6.647784471511841,8.140276908874512,20,2.6566721558570863,0.06769773312060824,2.4704158306121826,2.6261873841285706,2.663605809211731,2.7046499848365784,2.7547667026519775,20,3.917420193552971,0.10353011700090235,3.7335171937942504,3.8520542591810227,3.9024705648422238,3.969999724626541,4.243542194366455,20,6.53908519744873,1.2045076390973435,4.137657165527344,5.714131951332092,6.315936803817749,7.607813119888306,8.548774719238281,20,124.84989725748699,0.41848924456916037,123.92782338460286,124.64876556396484,124.89917373657227,125.12139574686687,125.65265655517578,20,95.04089463551838,1.6192623459302038,91.91217041015625,94.23909759521484,95.26005172729492,96.08093516031902,97.85198974609375
card_bounce_jiaozhun,20,20,492.5,34.077118422777474,422.0,472.5,493.5,511.25,568.0,20,24.625,1.7038559211388733,21.1,23.625,24.675,25.5625,28.4,20,0.3697819232940674,0.01691475966723795,0.34590619802474976,0.35407235473394394,0.3738904893398285,0.3799623027443886,0.4101543724536896,20,0.19349391162395477,0.0094382074865396,0.16790719330310822,0.19101113826036453,0.19446565955877304,0.1976427510380745,0.20997872948646545,20,0.06750724986195564,0.005943247229440744,0.06243699789047241,0.06316600367426872,0.06463400274515152,0.06858174875378609,0.08061300218105316,20,0.3347724124789238,0.04219539576993308,0.2635291814804077,0.29914601147174835,0.3298634737730026,0.35786227881908417,0.4133213460445404,20,0.8385868561267851,0.1809587316979702,0.538376474380493,0.7275529876351355,0.8320615217089653,0.9639204055070876,1.2033766508102415,20,0.33407022356987,0.04133531079421523,0.26429450511932373,0.29932013154029846,0.3303534835577011,0.35573314130306244,0.410453200340271,20,0.63791593760252,0.09107948941420993,0.49292388558387756,0.5690522640943527,0.619695246219635,0.6836373805999756,0.815923810005188,20,13.800718307495117,0.7416546636531413,12.900031089782715,13.349071741104126,13.487116813659668,13.912219762802124,15.865053176879883,20,16.367593772411343,1.6970547459354264,15.082720279693604,15.370239400863646,15.605825090408326,16.39666039943695,21.71850700378418,20,19.321961832046508,3.0060198194892624,15.602431297302246,17.336424350738525,18.625905990600586,20.845077991485596,26.67371368408203,20,12.264685010910034,0.33935703645925996,11.261691093444824,12.132213592529297,12.29444408416748,12.516540765762329,12.778990745544434,20,-1.286659310758114,3.5202039199240454,-8.047741889953613,-3.732905864715576,-1.3756757378578186,1.501591831445694,5.207089424133301,20,17.075538778305052,2.663948187851189,14.943077087402344,15.401372194290161,15.857060432434082,17.92663860321045,26.306604385375977,20,1.2849019527435304,0.0756955601809421,1.1376876831054688,1.2180531322956085,1.3180716633796692,1.3391173779964447,1.4159061908721924,20,1.8262659552693363,0.26080344290055874,1.4214196801185608,1.5752233162522313,1.8312837868928902,2.0129389613866797,2.39538242816925,20,3.992379814386368,1.230913827744361,1.8527638912200928,2.852195084095001,4.217047929763794,5.023426175117493,5.636392116546631,20,118.74990539550781,2.046826404055404,115.32255554199219,117.66938781738281,118.5300521850586,119.99799156188965,122.48529052734375,20,122.14650117874146,2.958091441418093,118.06009216308594,119.67433309555054,121.08860263824462,124.56667680740357,127.0172332763672,20,123.07619895935059,2.8310478428671573,118.8028564453125,120.81122207641602,122.20033264160156,125.41265678405762,127.61356353759766,20,1.5272489368915558,0.08843632486329159,1.3379861116409302,1.47405406832695,1.5536198616027832,1.5846109092235565,1.6778355836868286,20,2.7928856313228607,0.3115300056379163,2.268929958343506,2.574785205721855,2.8315606474876382,2.951721385121346,3.388685393333435,20,5.833278775215149,1.2322037524976759,3.536816120147705,4.823047637939453,6.061357736587524,6.6410945653915405,8.269759178161621,20,2.817943286895752,0.04388586819978704,2.7513513565063477,2.7720754742622375,2.8228670358657837,2.847622871398926,2.9158451557159424,20,3.8674993723630906,0.15276668679010588,3.590797042846679,3.747976753115654,3.864244055747986,3.9744362771511077,4.28126769065857,20,6.303835415840149,1.0253479698603567,4.757233142852783,5.3380526304244995,6.341535568237305,7.1248157024383545,8.279853820800781,20,124.00019569396973,0.7324889714274779,122.51398213704427,123.58244387308757,124.13610712687175,124.39930534362793,125.692138671875,20,94.2097536722819,1.6070218516768515,91.79783376057942,93.11068439483643,94.36185836791992,95.09167607625326,97.53146362304688
card_success,20,20,459.95,29.618364235723757,415.0,439.25,458.0,473.25,518.0,20,22.997500000000002,1.4809182117861879,20.75,21.9625,22.9,23.6625,25.9,20,0.3537235394120216,0.01264703204084856,0.3291754424571991,0.34683023393154144,0.34954091906547546,0.3641451969742775,0.3758833408355713,20,0.19342223852872847,0.011684785010760217,0.17594857513904572,0.1847018301486969,0.18956611305475235,0.20118224248290062,0.21642087399959564,20,0.06680615246295929,0.004750557669502506,0.06211000680923462,0.06268325820565224,0.06507749855518341,0.06849024817347527,0.0775970071554184,20,0.3533789232373238,0.05221091370247125,0.278094619512558,0.31619875133037567,0.3446454852819443,0.39299362152814865,0.4959174394607544,20,0.8998305360972877,0.37149028279125457,0.606923297047615,0.6782491691410537,0.751598453521728,1.003453265130519,2.1361193776130674,20,0.35289074927568437,0.051588594225287714,0.27896177768707275,0.3165777921676636,0.3430067449808121,0.3912406340241432,0.48993751406669617,20,0.6646424829959869,0.10267324708919508,0.5104143023490906,0.5901487320661545,0.6399685144424438,0.7401002645492554,0.9270570278167725,20,14.110396146774292,0.8922572729145659,12.636505126953125,13.574342489242554,13.790993213653564,14.310153722763062,16.33573341369629,20,17.07758621454239,2.5871766381120467,15.185966110229492,15.556262505054473,15.771202707290648,17.529213428497314,25.05436067581177,20,19.510255146026612,3.2045507814422423,16.21963882446289,17.18193292617798,18.684836387634277,20.8529314994812,28.002758026123047,20,12.213205289840698,0.3976395922041165,11.42670726776123,11.956494569778442,12.223720073699951,12.549558401107788,12.775468826293945,20,-1.0572580311447382,4.752770678760885,-12.942469596862793,-2.9016029834747314,-0.07927898317575455,1.26739701628685,7.282811164855957,20,16.52931046485901,1.9385433458521726,14.909088134765625,15.332163095474243,15.764410018920898,16.796095848083496,21.86388397216797,20,1.1649023354053498,0.07240473603354826,1.050882339477539,1.108909249305725,1.179970383644104,1.2092083096504211,1.3172187805175781,20,1.5889833208918571,0.2902241975107107,1.2220435142517088,1.3697798699140549,1.5073108792304992,1.8094628974795341,2.330223703384399,20,3.1612038254737853,1.126214014555928,1.5970044136047363,2.418398141860962,2.7163753509521484,3.801304578781128,5.878276824951172,20,117.818599319458,2.3198074758031693,113.98780822753906,115.80471992492676,117.65814208984375,120.05935859680176,121.805419921875,20,121.09891132354736,2.78929761276035,117.44639778137207,118.76460247039796,120.42308712005615,124.16749134063721,125.28226165771484,20,121.80978164672851,2.9321559918652005,117.75653839111328,119.2999496459961,121.5025749206543,124.63691329956055,125.92689514160156,20,1.4414972722530366,0.10458256599525666,1.299124002456665,1.3578872382640839,1.4241383075714111,1.4844270050525665,1.6583402156829834,20,2.576233322024345,0.3358293529090558,1.9906672954559312,2.3441307693719864,2.51106504201889,2.7416873216629023,3.2613282799720764,20,5.386375808715821,1.072146084483122,4.014885425567627,4.804009795188904,5.161188364028931,5.539052963256836,8.900753021240234,20,2.7780720829963683,0.055681994325445454,2.665511131286621,2.7369651198387146,2.7707585096359253,2.8015748262405396,2.917998790740967,20,3.75867143034935,0.11020044261802388,3.6321000099182124,3.678384095430374,3.7214082896709444,3.8160445600748063,4.028165817260742,20,5.545209693908691,0.8865088461467671,4.173242568969727,4.992430686950684,5.3620898723602295,6.307194352149963,7.864538192749023,20,123.53682645161946,0.9941026081612899,121.48541005452473,123.2326889038086,123.85824584960938,124.14031664530437,124.82349650065105,20,95.62580865224201,1.6209114640320024,91.82246017456055,94.92950185139975,95.24052810668945,96.42610994974771,99.63251495361328
huaping_main,100,100,437.42,37.4198289680752,359.0,412.5,438.5,467.25,518.0,100,21.871,1.87099144840376,17.95,20.625,21.924999999999997,23.3625,25.9,100,0.36354719936847685,0.01908367464039846,0.32187801599502563,0.3499074727296829,0.3625825196504593,0.37636689841747284,0.4280989170074463,100,0.20139596596360207,0.006403552846397089,0.18066003918647766,0.19765232503414154,0.2026827111840248,0.20581654459238052,0.21527992188930511,100,0.09285077929496766,0.003561510057254602,0.08507499098777771,0.0906284898519516,0.09248699992895126,0.09513051062822342,0.10640998184680939,100,0.3520201706886292,0.031532353213137,0.28940075635910034,0.3286103829741478,0.3514796644449234,0.3693046420812607,0.4443822205066681,100,0.676184158504009,0.0870143771002651,0.5096508026123047,0.6094898372888563,0.6583433210849756,0.7383041158318518,0.9656946599483488,100,1.3827342224121093,0.2656036485360227,1.0937697887420654,1.2495563626289368,1.3196536302566528,1.4329572021961212,2.6247851848602295,100,10.501074290275573,2.574193405300776,5.7648491859436035,8.777089357376099,9.92809772491455,11.93896484375,19.0603084564209,100,12.68177059173584,0.40138370808704776,11.591971397399902,12.409033060073853,12.737174987792969,12.927233695983887,13.613426208496094,100,16.4798402094841,0.5604053257430098,15.709837102890015,16.16260302066803,16.372978305816652,16.622634053230286,19.56683568954468,100,20.454629821777345,2.706766586858487,16.526165008544922,18.321949005126953,20.049907684326172,22.149778842926025,31.612648010253906,100,10.25850070476532,0.9088615294603121,7.261175632476807,9.618741035461426,10.302037239074707,10.930746078491211,12.473566055297852,100,-0.14987555786967277,3.574338234971909,-16.83950424194336,-1.8912712633609772,0.3856305181980133,2.174180328845978,6.149569034576416,100,19.61455883026123,2.5404497370242947,15.865278244018555,17.676093101501465,18.78006649017334,21.165209770202637,28.321002960205078,100,4.135628494024277,1.285535057715041,1.6983087062835693,3.339926302433014,4.131978273391724,5.110844850540161,7.692439079284668,100,8.824981255352498,3.826516747101725,1.8438422083854675,6.552027022838592,8.805630016326905,11.187478148937222,19.063292980194092,100,11.55034495830536,5.027208215447948,1.9728429317474365,8.591284036636353,11.606244564056396,14.594337940216064,29.202281951904297,100,104.5144995880127,33.69563753919825,31.620563507080078,77.38771629333496,87.99683380126953,141.63637924194336,162.21694946289062,100,107.65772093391419,33.57177798398727,33.149862670898436,80.59549703598023,90.66920890808106,144.12172870635987,179.61912231445314,100,108.89625339508056,33.420124710541856,33.43170928955078,81.15426826477051,93.43327331542969,144.62832641601562,180.4640655517578,100,2.707007339000702,0.6678530235088496,1.409183144569397,2.201489269733429,2.7425289154052734,3.158210039138794,4.259584903717041,100,5.77458460831642,1.891303087482757,2.0923094749450684,4.533646309375762,5.951229524612426,7.099281930923461,9.96260929107666,100,10.060931792259217,3.7026249319979163,2.7788727283477783,8.260226011276245,10.275075435638428,12.35331392288208,21.067094802856445,100,3.4102287209033966,0.8300026546281213,1.9700738191604614,2.703905463218689,3.3822646141052246,3.8964473009109497,5.071446418762207,100,5.946478162288665,1.4684168166806413,3.105637311935425,4.792124271392822,6.124161756038665,6.783201122283936,9.570542240142823,100,9.578630080223084,3.0121912467538388,3.88382887840271,7.821733236312866,9.484070777893066,11.18110728263855,18.781421661376953,100,111.9796024576823,0.8169886512157212,110.43297831217448,111.43547248840332,111.82761510213217,112.38781102498372,114.63573201497395,100,97.01946968078613,0.8102014180258057,95.27924346923828,96.44084421793619,97.0128911336263,97.48639678955078,98.93783823649089
huaping_no_grasp_change,30,30,394.6,46.36421033512811,315.0,362.5,397.0,428.5,498.0,30,19.729999999999997,2.3182105167564053,15.75,18.125,19.85,21.425,24.9,30,0.3711715390284856,0.019135722319090737,0.32126882672309875,0.35958074033260345,0.36833256483078003,0.38423049449920654,0.4067380428314209,30,0.19784009059270222,0.006621890512200703,0.1864781677722931,0.19247972965240479,0.19759689271450043,0.20308448001742363,0.21122626960277557,30,0.09663956513007482,0.0017894256254745774,0.09345699846744537,0.09509024024009705,0.09654900431632996,0.09770548716187477,0.10098600387573242,30,0.39418422679106396,0.04301987394001419,0.3175525665283203,0.3636871874332428,0.39203085005283356,0.4209951385855675,0.5069884061813354,30,0.7746073976159095,0.10782577745719865,0.6058769583702086,0.6989032715559005,0.754823584854603,0.8381511695683,1.0930878579616543,30,1.3981296430031458,0.32361901862219894,0.43358007073402405,1.2228653728961945,1.4702258706092834,1.636027842760086,1.9260895252227783,30,9.930870787302654,2.532661120729699,5.528069496154785,8.319150924682617,9.340304374694824,10.916789054870605,17.316349029541016,30,12.581998380025228,0.4739202666776559,11.578561782836914,12.249084949493408,12.567408561706543,12.942036628723145,13.48914623260498,30,16.638834517796834,0.44069090817711015,16.081599235534668,16.391149377822877,16.553999948501588,16.698617792129518,18.480175590515138,30,23.75222047170003,18.22621668476542,17.319528579711914,18.882720470428467,19.913472175598145,21.95008611679077,121.17594146728516,30,9.585130437215168,1.2120697256925235,5.140251159667969,9.094928979873657,9.690001010894775,10.35176396369934,11.279118537902832,30,-8.213775262236595,20.97005674467613,-118.41403198242188,-7.7822335958480835,-4.078383684158325,-0.7714816927909851,3.15565824508667,30,19.614235496520998,2.214406681255543,16.692323684692383,18.101272583007812,19.179802894592285,20.08641004562378,25.488285064697266,30,1.8150548537572224,0.31450273969209686,1.4489829540252686,1.5855199098587036,1.7243825793266296,1.9560127258300781,2.773529052734375,30,2.3806062742074325,0.7217579513903993,1.603749167919159,2.0117421358823777,2.19190314412117,2.5141623437404625,4.83732147216797,30,3.4209614674250286,1.709534694362486,1.6409499645233154,2.459303319454193,2.8943114280700684,3.81997549533844,9.802083969116211,30,132.9292091369629,1.9389077210643284,127.56085205078125,133.04050827026367,133.55776977539062,134.0825653076172,134.43023681640625,30,133.45965929667156,1.9596875509513196,128.02517852783203,133.52880859375,134.03279876708984,134.56090526580812,135.50636444091796,30,134.00799763997395,2.1334522064303356,128.37692260742188,133.88441848754883,134.4342803955078,135.03423309326172,137.0643310546875,30,1.6003223737080892,0.14299323363344657,1.389394760131836,1.4956505298614502,1.573977291584015,1.6477172672748566,2.0223476886749268,30,2.3638328615824378,0.3308573029670884,1.9727419018745422,2.136289814114569,2.2858631849288944,2.4007966607809066,3.338258838653564,30,3.62207612991333,1.233289237969844,2.1600420475006104,2.8369706869125366,3.28748619556427,3.8588799238204956,8.394922256469727,30,2.3699290196100873,0.2628793012913641,2.0592854022979736,2.2161589860916138,2.3062243461608887,2.388901948928833,3.0764317512512207,30,4.0027840590476975,0.5436720064088187,3.3253508329391477,3.6288621664047236,3.873480188846588,4.2343273758888245,5.224894189834595,30,5.42899850209554,1.1474122486512428,4.017975807189941,4.574079155921936,5.085061073303223,6.025805473327637,9.887518882751465,30,113.20198177761503,0.6633758625132588,111.69735717773438,112.7756716410319,113.08449172973633,113.63350359598795,114.76094818115234,30,97.94371931287976,1.587179030568698,95.99048105875652,96.60406621297201,97.60309346516928,98.8214880625407,101.83909606933594
